A-Z/A-Z/0-9; 10;
ABIERTA; 22,20,15,9;
ABIERTO; 13,15,23,22,21,20,19,18,17,16,14,12,9;
ABIERTOS; 23,22,21,20,19,18,17,16,15,14,13,12,11,9;
ABRE; 23,22,21,20,19,18,17,16,15,14,13,4,3;
ABRIO; 23,21,19,17,14,13,12,3;
ACCEDER; 23,22,21,20,19,18,17,16,15,14,13,12,3;
ACCESO; 2;
ACEPTA; 10;
ACEPTAR; 8,6;
ACTIVA; 10;
ACTUAL; 22,20,15,14,13,23,21,19,18,17,16,12,9,3;
ACTUALIZACIÓN; 16;
ACTUALIZAR; 22,20,15,14,13,9,18,16;
ACTUALIZARA; 22,20,15,9,18,16,14,13;
ACTUALZAR; 18;
ACTULIDA; 22,20,15,9;
ADECUADA; 15,23,22,21,20,19,18,17,16,14,13,12,9,3;
ADELANTE; 10;
ADMINISTRA; 2;
AL; 22,20,18,16,23,21,19,17,15,14,13,9,12,10,8,11,3,4,6,5,2;
ALA; 11;
ALERTA; 6;
ALGUNA; 10;
AMBIENTE; 8;
ANALISIS; 11,12;
ANTERIO; 23,21,19,17;
ANTERIORENTE; 11;
ANTERIORES; 23,21,19,17;
APERTURA; 23,21,19,18,17,16,14,13,12,9;
APLICATIVO; 23,22,21,20,19,18,17,16,15,14,13,3;
AQUIEN; 23,21,19,17,15,14,13,12,3;
ARCHIVO; 8;
AREA; 10,5,4;
ASIGNADO; 23,21,19,18,17,14,13,12,16,15,11,9,22,20,3;
ASIGNADOS; 15,16;
ASIGNAR; 11;
ASIGNO; 23,21,19,17,15,14,13,12,3;
ASUNTO; 23,21,19,17,14,13,12,3;
ATRAS; 23,21,19,17;
AUTOMANICAMENTO; 22,20,15,9;
AUTOMATICAMENTE; 11,8,5;
AUTOMATICAMENTO; 8;
AVANZADA; 12,11,10;
AVISO; 10;
AYUDA; 19,18,23,21,17,14,13,22,20,16,15,3,11,9,12;
AYUDAS; 18;
